Characteristic,Neighbourhood Number,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),Older Seniors (85+ years),  Single-detached house,  Apartment in a building that has five or more storeys,    Semi-detached house,    Row house,    Apartment or flat in a duplex,    Apartment in a building that has fewer than five storeys,    Other single-attached house,  Movable dwelling,  1 person,  2 persons,  3 persons,  4 persons,  5 or more persons, Average household size,"    Under $10,000 (including loss)","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 and over",  No bedrooms,  1 bedroom,  2 bedrooms,  3 bedrooms,  4 or more bedrooms
Highland Creek,134,"1,545","1,925","4,620","2,020","2,395",190,3100,0,5,15,545,30,0,0,415,930,765,725,850,3.37,"1,975","2,015","1,520","1,270","1,140",790,530,455,735,20,80,190,800,"2,610"
Hillcrest Village,48,"2,115","2,170","6,060","2,265","4,305",630,1650,1940,825,1070,155,755,0,0,1480,1950,1305,1055,605,2.64,"3,070","3,070","1,860","1,415","1,240",995,690,560,"1,150",170,705,"1,220","2,195","2,120"
Humber Heights-Westmount,8,"1,450","1,140","3,790","1,510","3,045",950,1680,1975,60,65,180,190,0,0,1200,1305,710,590,320,2.45,"1,235","1,510","1,365","1,045",975,670,485,330,695,25,445,"1,545","1,415",715
Humber Summit,21,"2,155","1,720","4,855","1,315","2,380",260,525,710,1790,85,95,685,0,5,635,1015,720,735,800,3.18,"1,845","2,375","1,950","1,385",905,540,290,160,200,10,320,665,"1,620","1,290"
Humbermede,22,"2,945","2,225","6,445","1,760","2,160",260,575,1585,1135,455,80,1210,0,0,855,1345,965,940,920,3.07,"2,410","2,770","2,365","1,735","1,220",615,330,190,175,20,590,"1,505","1,535","1,395"
Humewood-Cedarvale,106,"2,165","1,610","7,005","1,650","1,940",280,1850,1705,265,0,155,2595,0,0,2535,2050,830,800,365,2.17,"1,655","2,010","1,845","1,405","1,105",785,600,475,"1,800",195,"2,610","1,485","1,140","1,130"
Ionview,125,"2,310","1,645","6,050","1,720","1,890",245,1020,2880,375,145,380,270,100,0,1310,1565,955,810,540,2.63,"2,000","2,435","2,015","1,640","1,120",645,365,195,185,65,"1,505","1,630","1,290",685
Islington-City Centre West,14,"5,820","4,695","20,640","5,400","7,405","1,480",5175,12345,125,650,250,750,5,0,6655,6405,2960,2225,1095,2.24,"5,430","6,015","4,830","4,525","4,080","3,255","2,315","1,785","3,765",150,"5,930","6,645","4,060","2,545"
Junction Area,90,"2,190","1,465","7,470","1,750","1,500",175,740,720,980,565,510,2510,10,0,1990,1860,970,815,400,2.33,"1,785","1,975","1,650","1,345","1,305",995,760,630,"1,120",120,"1,670","1,460","1,735","1,055"
Keelesdale-Eglinton West,110,"1,610","1,430","4,790","1,435","1,785",230,1670,665,425,10,395,1005,0,0,1155,1135,740,680,475,2.64,"1,535","2,055","1,780","1,200",885,610,360,235,225,40,930,"1,215","1,425",585
