Characteristic,Neighbourhood Number,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),Older Seniors (85+ years),  Single-detached house,  Apartment in a building that has five or more storeys,    Semi-detached house,    Row house,    Apartment or flat in a duplex,    Apartment in a building that has fewer than five storeys,    Other single-attached house,  Movable dwelling,  1 person,  2 persons,  3 persons,  4 persons,  5 or more persons, Average household size,"    Under $10,000 (including loss)","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 and over",  No bedrooms,  1 bedroom,  2 bedrooms,  3 bedrooms,  4 or more bedrooms
Willowdale East,51,"5,920","6,940","25,850","5,460","6,270",830,3385,16100,65,845,250,1650,20,0,7390,7200,4025,2650,1050,2.25,"11,190","6,840","4,480","3,840","3,590","3,000","2,400","1,910","4,285",210,"7,680","8,905","2,990","2,510"
Willowdale West,37,"1,785","2,230","7,480","2,070","3,370",655,2030,4630,140,250,300,195,0,0,2660,2445,1180,885,380,2.22,"3,460","2,625","1,660","1,390","1,160",945,825,655,"1,555",275,"2,020","2,650","1,390","1,220"
Willowridge-Martingrove-Richview,7,"3,555","2,625","8,140","2,905","4,905",885,3600,3740,530,345,255,35,0,0,2165,2600,1495,1400,840,2.6,"2,720","3,200","2,940","2,355","1,990","1,435",950,780,"1,385",0,"1,335","1,995","3,310","1,840"
Woburn,137,"9,625","7,660","21,945","6,245","8,010","1,130",6310,9330,285,240,1750,490,10,0,4220,4855,3395,3200,2775,2.87,"8,955","9,640","7,245","5,250","3,805","2,365","1,445",830,"1,090",295,"3,365","5,830","4,940","3,990"
Woodbine Corridor,64,"2,325","1,035","6,165","1,625","1,380",170,885,690,1555,300,190,1810,25,0,1860,1620,900,820,250,2.28,"1,320","1,715","1,245",970,930,805,700,635,"1,430",140,"1,405","1,145","2,240",520
Woodbine-Lumsden,60,"1,165",675,"3,790","1,150","1,095",125,1885,610,325,20,285,320,5,0,1105,1150,585,440,175,2.27,885,"1,200",910,730,680,600,475,380,610,95,665,"1,120","1,130",435
Wychwood,94,"1,860","1,320","6,420","1,595","3,150",880,920,1295,880,290,395,2080,35,0,2075,1870,875,750,330,2.24,"1,670","2,170","1,750","1,205","1,040",830,580,445,"1,315",60,"1,860","1,420","1,610",940
Yonge-Eglinton,100,"1,800","1,225","5,860","1,325","1,600",165,1400,1995,465,60,310,1445,0,0,2365,1695,710,690,220,2.08,"1,325","1,135","1,060","1,045",985,800,650,500,"2,095",260,"2,045","1,335","1,085",945
Yonge-St.Clair,97,"1,210",920,"5,960","1,540","2,905",470,520,4315,450,220,130,1370,0,0,3465,2425,595,395,135,1.76,"1,275","1,185","1,125","1,170","1,140",990,740,610,"2,680",270,"3,005","2,320",815,615
York University Heights,27,"4,045","4,750","12,290","2,965","3,530",400,1235,5505,1360,775,280,995,0,0,2660,2825,1860,1495,1325,2.71,"5,135","5,000","4,030","3,085","2,215","1,235",725,375,455,145,"2,795","2,765","2,620","1,850"
Yorkdale-Glen Park,31,"1,960","1,870","5,860","1,810","3,295",775,2165,1185,80,600,465,830,5,0,1355,1615,1010,780,590,2.62,"1,875","2,260","2,165","1,710","1,225",755,470,390,620,30,975,"1,300","1,885","1,155"
